Id,Start time,Completion time,Email,Name,Choose Chancellor/ Associate Deanship/School:,Chancellor Units,Deanship of Academic Affairs Units,Deanship of Investigation,Deanship of Students,Deanship of Administration,School of Medicine,School of Dental Medicine,School of Nursing,School of Pharmacy,School of Health Professions,Graduate School of Public Health,Staff or Faculty member completing this information (first and last name; Ex: Juan Del Pueblo),Institutional Email (@upr.edu),Project or Iniciative,Brief description of the project or initiative,Strategic Topic for the Project or Initiative,Select Goal for the ACADEMIC EXCELLENCE AND INNOVATION for the Project or Iniciative - A,Select Goal for the RESEARCH TRANSFORMATION for the Project or Iniciative - B,"Select Goal for the FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY for the Project or Iniciative - C",Select Goal for the WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT for the Project or Iniciative - D,Select the Objective of the selected Goal 1A,Select the Objective of the selected Goal 2A,Select the Objective of the selected Goal 3A,Select the Objective of the selected Goal 1B,Select the Objective of the selected Goal 1C,Select the Objective of the selected Goal 2C,Select the Objective of the selected Goal 3C,Select the Objective of the selected Goal 1D,Select the Objective of the selected Goal 2D,Select the Objective of the selected Goal 3D,Person Responsible for the Project or Initiative,Does the Project/Initiative have a source of income?,Source(s) of Income,Estimated cost of the strategy/initiative in US$ (Academic Year 2025-2026) (Example: 10000.00),Funding Status
234,02/13/2026 13:07,02/13/2026 13:12,william.flores@upr.edu,WILLIAM FLORES,Chancellor,External Relations,,,,,,,,,,,William Flores,william.flores@upr.edu,Process Optimization - Mandatory mobile model,This initiative will transform our operations through technology and process improvement.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Robin Mercado,No,,,N/A
235,01/28/2026 12:48,01/28/2026 12:53,stephanie.hartman@upr.edu,STEPHANIE HARTMAN,School of Medicine,,,,,,Department of Pharmacology,,,,,,Stephanie Hartman,stephanie.hartman@upr.edu,Campus Recreation Program - Decentralized radical Graphic Interface,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Victoria Herrera,Yes,CPPF - F MEJORAS DONATIVO PRIV (40280);FGF - F GRANTS FEDERALES (40231-39);FSTAID - F AYUDA ECON FED (40210-29),56573.08,Pending
236,02/12/2026 06:13,02/12/2026 06:15,jeffrey.jones@upr.edu,JEFFREY JONES,School of Dental Medicine,,,,,,,Office of the Dean - Dental Medicine,,,,,Jeffrey Jones,jeffrey.jones@upr.edu,Peer Support Network - Enhanced explicit support,An interdisciplinary effort to advance our mission through education and resource optimization.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Kelly Patterson,Yes,SGOVC - CONTRATOS GOB PR (40250);ISTFA - AYUDA INST ASIST ECON EST (40275),141387.88,New
237,02/09/2026 06:07,02/09/2026 06:20,joseph.jones@upr.edu,JOSEPH JONES,School of Health Professions,,,,,,,,,,Department of Physical Therapy,,Joseph Jones,joseph.jones@upr.edu,Community Outreach Initiative - Decentralized 5thgeneration success,This project aims to improve outcomes through innovative approaches and collaborative efforts.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Carolyn Campbell,No,,,N/A
238,01/29/2026 17:32,01/29/2026 17:34,steven.berry@upr.edu,STEVEN BERRY,Dean of Students,,,,Health Services,,,,,,,,Steven Berry,steven.berry@upr.edu,Energy Sustainability - Reduced fresh-thinking Graphical User Interface,This project addresses critical needs by developing strategic solutions and community partnerships.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Cindy Miller,Yes,ROPR - PROYECTOS ESPECIALES (40399),245795.82,New
239,02/07/2026 13:00,02/07/2026 13:09,matthew.fuller@upr.edu,MATTHEW FULLER,Chancellor,Office of the Chancellor,,,,,,,,,,,Matthew Fuller,matthew.fuller@upr.edu,Financial Reporting Enhancement - Inverse explicit matrix,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,April Jones,Yes,SSTFA - F ESTATAL AYUDA ECON (20241-49);CPFF - F MEJORAS FONDOS FEDERALES (40470),24798.67,Existing
240,01/24/2026 04:59,01/24/2026 05:11,aaron.fernandez@upr.edu,AARON FERNANDEZ,School of Dental Medicine,,,,,,,Office of the Dean - Dental Medicine,,,,,Aaron Fernandez,aaron.fernandez@upr.edu,Accreditation Support - Organic multimedia flexibility,This project addresses critical needs by developing strategic solutions and community partnerships.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Jessica Wilson,No,,,N/A
241,02/17/2026 20:38,02/17/2026 20:51,amanda.stokes@upr.edu,AMANDA STOKES,School of Medicine,,,,,,Department of Internal Medicine,,,,,,Amanda Stokes,amanda.stokes@upr.edu,Student Support Services - Customizable didactic adapter,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Melissa Solomon,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120),41929.37,New
242,02/06/2026 06:19,02/06/2026 06:26,kimberly.savage@upr.edu,KIMBERLY SAVAGE,School of Dental Medicine,,,,,,,Office of the Dean - Dental Medicine,,,,,Kimberly Savage,kimberly.savage@upr.edu,Technology Modernization - Optional 24hour ability,This project aims to improve outcomes through innovative approaches and collaborative efforts.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Kenneth Kelly,Yes,CPPF - F MEJORAS DONATIVO PRIV (40280),76749.53,Pending
243,02/04/2026 06:25,02/04/2026 06:38,mark.smith@upr.edu,MARK SMITH,School of Health Professions,,,,,,,,,,Office of the Dean - Health Professions,,Mark Smith,mark.smith@upr.edu,Publication Support Initiative - Stand-alone value-added circuit,This project addresses critical needs by developing strategic solutions and community partnerships.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Pamela Knight,No,,,N/A
244,01/30/2026 08:20,01/30/2026 08:30,olivia.eaton@upr.edu,OLIVIA EATON,Chancellor,Legal Affairs,,,,,,,,,,,Olivia Eaton,olivia.eaton@upr.edu,Purchasing System Upgrade - Operative bandwidth-monitored toolset,This initiative will transform our operations through technology and process improvement.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Holly Costa,Yes,REVF - FONDOS ROTATORIOS (40380),26374.93,Existing
245,01/25/2026 18:33,01/25/2026 18:36,cynthia.nicholson@upr.edu,CYNTHIA NICHOLSON,Chancellor,RCM Central Administration,,,,,,,,,,,Cynthia Nicholson,cynthia.nicholson@upr.edu,Research Collaboration Network - Customer-focused even-keeled policy,This project aims to improve outcomes through innovative approaches and collaborative efforts.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Steven Collins,Yes,GF - FONDO GENERAL (40110),249293.2,Existing
246,02/04/2026 09:04,02/04/2026 09:16,natasha.johnson@upr.edu,NATASHA JOHNSON,School of Nursing,,,,,,,,Undergraduate Nursing Programs,,,,Natasha Johnson,natasha.johnson@upr.edu,Continuing Education Series - Total reciprocal capacity,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Ricky Carey,Yes,PPIU - PLAN PRACT INTRAM (40312);PPMI - MEDICAL PRACTIVE PLAN (40311);RENDINC - INGRESOS FONDO DOTAL (40370),8341.09,Pending
247,02/06/2026 14:58,02/06/2026 15:06,rebecca.alexander@upr.edu,REBECCA ALEXANDER,Dean of Investigation,,,Clinical Research Center,,,,,,,,,Rebecca Alexander,rebecca.alexander@upr.edu,Research Training Program - Reverse-engineered foreground project,This project aims to improve outcomes through innovative approaches and collaborative efforts.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Alexander Robinson,Yes,ISTFA - AYUDA INST ASIST ECON EST (40275);RENDINC - INGRESOS FONDO DOTAL (40370);PPIU - PLAN PRACT INTRAM (40312),220811.86,New
248,02/17/2026 07:17,02/17/2026 07:19,chad.guerra@upr.edu,CHAD GUERRA,Dean of Academic Affairs,,Curricular Development,,,,,,,,,,Chad Guerra,chad.guerra@upr.edu,Peer Support Network - Ergonomic dedicated hub,This project aims to improve outcomes through innovative approaches and collaborative efforts.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Stephanie Berg,No,,,N/A
249,01/23/2026 13:09,01/23/2026 13:23,jean.holmes@upr.edu,JEAN HOLMES,School of Medicine,,,,,,Department of Pediatrics,,,,,,Jean Holmes,jean.holmes@upr.edu,Health Screening Program - Persevering 6thgeneration Internet solution,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Robert Lindsey,Yes,CPF - MEJORAS PROJETOS FEMA (40471);MGRC - CONTRATOS GOB MUNICIPAL (40260),8296.56,New
250,01/31/2026 00:31,01/31/2026 00:33,mary.hobbs@upr.edu,MARY HOBBS,School of Nursing,,,,,,,,Nursing Research,,,,Mary Hobbs,mary.hobbs@upr.edu,Administrative Automation - Enhanced cohesive firmware,A comprehensive initiative focused on enhancing quality and implementing best practices.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Jade Williams,Yes,CPF - MEJORAS PERMANENTES (40411-69);FGF - F GRANTS FEDERALES (40231-39),191248.38,Existing
251,01/29/2026 15:20,01/29/2026 15:31,allen.green@upr.edu,ALLEN GREEN,School of Dental Medicine,,,,,,,Department of Restorative Sciences,,,,,Allen Green,allen.green@upr.edu,Research Collaboration Network - Customer-focused upward-trending moderator,This project addresses critical needs by developing strategic solutions and community partnerships.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Jacob Hansen,Yes,RCI - RECOBRO COSTOS IND (40330);CPFF - F MEJORAS FONDOS FEDERALES (40470);EMPAUX - F EMP AUX (20181),141214.11,Existing
252,02/01/2026 03:04,02/01/2026 03:19,megan.mason@upr.edu,MEGAN MASON,School of Nursing,,,,,,,,Nursing Research,,,,Megan Mason,megan.mason@upr.edu,Process Optimization - Switchable attitude-oriented project,A comprehensive initiative focused on enhancing quality and implementing best practices.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Donna Dixon,Yes,ROPR - PROYECTOS ESPECIALES (40399),120019.26,New
253,02/14/2026 02:36,02/14/2026 02:47,carl.johnson@upr.edu,CARL JOHNSON,Dean of Students,,,,Student Counseling,,,,,,,,Carl Johnson,carl.johnson@upr.edu,Process Optimization - Pre-emptive systemic archive,This project aims to improve outcomes through innovative approaches and collaborative efforts.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Kelli Thompson,Yes,EMPAUX - F EMP AUX (20181);FIP - PAREO FONDO INSTITUCIONAL (40120);ROPR - PROYECTOS ESPECIALES (40399),215306.7,Existing
254,02/10/2026 11:47,02/10/2026 11:54,christine.english@upr.edu,CHRISTINE ENGLISH,Graduate School of Public Health,,,,,,,,,,,Department of Health Policy and Management,Christine English,christine.english@upr.edu,Faculty Development Program - Networked 3rdgeneration matrices,An interdisciplinary effort to advance our mission through education and resource optimization.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Rebecca Greer,No,,,N/A
255,01/26/2026 16:49,01/26/2026 17:01,stephen.stewart@upr.edu,STEPHEN STEWART,School of Medicine,,,,,,Department of Physiology,,,,,,Stephen Stewart,stephen.stewart@upr.edu,Technology Modernization - Operative value-added software,This project addresses critical needs by developing strategic solutions and community partnerships.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Martin Sanders,Yes,GF - FONDO GENERAL (40110),237248.24,Pending
256,02/17/2026 19:01,02/17/2026 19:09,patrick.mitchell@upr.edu,PATRICK MITCHELL,School of Health Professions,,,,,,,,,,Office of the Dean - Health Professions,,Patrick Mitchell,patrick.mitchell@upr.edu,Data Analysis Center - Mandatory system-worthy hardware,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Robert Fuentes,Yes,SSTFA - F ESTATAL AYUDA ECON (20241-49);MGRC - CONTRATOS GOB MUNICIPAL (40260);RCI - RECOBRO COSTOS IND (40330),245612.53,Existing
257,02/17/2026 21:52,02/17/2026 22:04,jared.zavala@upr.edu,JARED ZAVALA,Dean of Academic Affairs,,Distance Education,,,,,,,,,,Jared Zavala,jared.zavala@upr.edu,Mental Health Services - Realigned upward-trending Local Area Network,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Sydney Holland,Yes,GF - FONDO GENERAL (40110),12988.72,New
258,01/31/2026 11:34,01/31/2026 11:47,terry.clayton@upr.edu,TERRY CLAYTON,School of Dental Medicine,,,,,,,Department of Diagnostic Sciences,,,,,Terry Clayton,terry.clayton@upr.edu,Mental Health Services - Implemented optimal moderator,An interdisciplinary effort to advance our mission through education and resource optimization.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Charles Navarro,Yes,REVF - FONDOS ROTATORIOS (40380),19353.64,Existing
259,01/28/2026 01:31,01/28/2026 01:37,margaret.reyes@upr.edu,MARGARET REYES,Chancellor,Legal Affairs,,,,,,,,,,,Margaret Reyes,margaret.reyes@upr.edu,Budget Efficiency Initiative - Distributed optimal initiative,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Anthony Mills,Yes,SSTFA - F ESTATAL AYUDA ECON (20241-49);CPF - MEJORAS PERMANENTES (40411-69);RMF - F PAREO GRANTS (40320),148913.61,Pending
260,01/28/2026 01:58,01/28/2026 02:07,christian.michael@upr.edu,CHRISTIAN MICHAEL,Chancellor,External Relations,,,,,,,,,,,Christian Michael,christian.michael@upr.edu,Clinical Trial Management - Face-to-face national instruction set,This project addresses critical needs by developing strategic solutions and community partnerships.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Joshua Collins,Yes,PPIU - PLAN PRACT INTRAM (40312),174601.98,Pending
261,01/30/2026 02:50,01/30/2026 03:03,rebecca.vargas@upr.edu,REBECCA VARGAS,School of Pharmacy,,,,,,,,,Department of Pharmaceutical Sciences,,,Rebecca Vargas,rebecca.vargas@upr.edu,Process Optimization - Object-based full-range data-warehouse,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Oscar Lyons,No,,,N/A
262,02/04/2026 19:34,02/04/2026 19:38,kelly.beard@upr.edu,KELLY BEARD,Chancellor,Legal Affairs,,,,,,,,,,,Kelly Beard,kelly.beard@upr.edu,Student Recruitment Campaign - Enhanced tangible collaboration,An interdisciplinary effort to advance our mission through education and resource optimization.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Jason Washington,Yes,GF - FONDO GENERAL (40110),52531.29,Pending
263,02/08/2026 02:56,02/08/2026 03:02,nathaniel.guzman@upr.edu,NATHANIEL GUZMAN,Dean of Academic Affairs,,Student Affairs,,,,,,,,,,Nathaniel Guzman,nathaniel.guzman@upr.edu,Accreditation Support - Multi-lateral zero administration system engine,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Elizabeth Green,No,,,N/A
264,02/06/2026 05:25,02/06/2026 05:29,diana.sanchez@upr.edu,DIANA SANCHEZ,School of Medicine,,,,,,Department of Surgery,,,,,,Diana Sanchez,diana.sanchez@upr.edu,Purchasing System Upgrade - Monitored even-keeled software,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Deborah Murphy,Yes,D - DONATIVOS (40270),141497.4,Existing
265,02/02/2026 07:23,02/02/2026 07:37,brittany.smith@upr.edu,BRITTANY SMITH,Graduate School of Public Health,,,,,,,,,,,Office of the Dean - Public Health,Brittany Smith,brittany.smith@upr.edu,Learning Management System Upgrade - Assimilated needs-based encryption,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Michael Ford,No,,,N/A
266,02/15/2026 22:50,02/15/2026 23:05,daniel.davis@upr.edu,DANIEL DAVIS,School of Pharmacy,,,,,,,,,Pharmacy Experiential Education,,,Daniel Davis,daniel.davis@upr.edu,Health Screening Program - Expanded coherent Internet solution,This project aims to improve outcomes through innovative approaches and collaborative efforts.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Dale Martin,No,,,N/A
267,02/05/2026 05:00,02/05/2026 05:15,margaret.thompson@upr.edu,MARGARET THOMPSON,Chancellor,Accreditation and Assessment,,,,,,,,,,,Margaret Thompson,margaret.thompson@upr.edu,Publication Support Initiative - Re-contextualized global benchmark,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Charles Hall,Yes,PPIU - PLAN PRACT INTRAM (40312),20513.76,Pending
268,02/11/2026 16:04,02/11/2026 16:12,heather.patterson@upr.edu,HEATHER PATTERSON,Dean of Students,,,,Housing Office,,,,,,,,Heather Patterson,heather.patterson@upr.edu,Clinical Trial Management - Face-to-face local access,An interdisciplinary effort to advance our mission through education and resource optimization.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Alexandra Jones,No,,,N/A
269,01/26/2026 00:36,01/26/2026 00:46,alexandra.lucas@upr.edu,ALEXANDRA LUCAS,School of Medicine,,,,,,Department of Pathology,,,,,,Alexandra Lucas,alexandra.lucas@upr.edu,Community Outreach Initiative - Total executive support,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Michael Hendrix,Yes,CPFF - F MEJORAS FONDOS FEDERALES (40470),195106.63,New
270,02/13/2026 06:34,02/13/2026 06:49,cynthia.barnes@upr.edu,CYNTHIA BARNES,School of Pharmacy,,,,,,,,,Department of Pharmaceutical Sciences,,,Cynthia Barnes,cynthia.barnes@upr.edu,Campus Recreation Program - Vision-oriented national capacity,This initiative will transform our operations through technology and process improvement.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Daniel Armstrong,No,,,N/A
271,02/06/2026 09:32,02/06/2026 09:34,susan.gay@upr.edu,SUSAN GAY,Dean of Investigation,,,Clinical Research Center,,,,,,,,,Susan Gay,susan.gay@upr.edu,Cultural Activities Series - Phased maximized superstructure,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Teresa Glass,Yes,RENDINC - INGRESOS FONDO DOTAL (40370);D - DONATIVOS (40270);RCI - RECOBRO COSTOS IND (40330),6037.99,New
272,01/29/2026 16:33,01/29/2026 16:39,hannah.thompson@upr.edu,HANNAH THOMPSON,Dean of Administration,,,,,Security Office,,,,,,,Hannah Thompson,hannah.thompson@upr.edu,Health Screening Program - Seamless disintermediate groupware,An interdisciplinary effort to advance our mission through education and resource optimization.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Kathy Best,Yes,PPIU - PLAN PRACT INTRAM (40312);CPF - MEJORAS PROJETOS FEMA (40471),161743.15,Existing
273,02/05/2026 17:05,02/05/2026 17:14,heather.lindsey@upr.edu,HEATHER LINDSEY,Dean of Students,,,,Career Services,,,,,,,,Heather Lindsey,heather.lindsey@upr.edu,Mental Health Services - Programmable well-modulated collaboration,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,David Johnson,No,,,N/A
274,02/03/2026 20:47,02/03/2026 20:51,amanda.herman@upr.edu,AMANDA HERMAN,School of Pharmacy,,,,,,,,,Drug Information Center,,,Amanda Herman,amanda.herman@upr.edu,Curriculum Enhancement - Open-source real-time challenge,A comprehensive initiative focused on enhancing quality and implementing best practices.,A. ACADEMIC EXCELLENCE AND INNOVATION,"Goal 1: Incorporate high-quality academic program offerings that are relevant, competitive, and respond to the evolution of health needs, focusing on sectors with the greatest need.",,,,,,,,,,,,,,Jeremiah Sutton,Yes,FGF - F GRANTS FEDERALES (40231-39);RCI - RECOBRO COSTOS IND (40330),176453.85,New
275,02/10/2026 07:23,02/10/2026 07:30,kristine.cruz.md@upr.edu,KRISTINE CRUZ MD,School of Nursing,,,,,,,,Nursing Research,,,,Kristine Cruz MD,kristine.cruz.md@upr.edu,Wellness Program - Balanced optimizing database,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Vincent White,Yes,CPF - MEJORAS PROJETOS FEMA (40471);REVF - FONDOS ROTATORIOS (40380),45218.34,New
276,02/09/2026 00:45,02/09/2026 00:56,clinton.mills@upr.edu,CLINTON MILLS,School of Pharmacy,,,,,,,,,Department of Pharmaceutical Sciences,,,Clinton Mills,clinton.mills@upr.edu,Process Optimization - Team-oriented global Internet solution,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Matthew Dougherty,Yes,CPFF - F MEJORAS FONDOS FEDERALES (40470),195177.7,Existing
277,01/23/2026 14:28,01/23/2026 14:43,casey.wise@upr.edu,CASEY WISE,Dean of Students,,,,Housing Office,,,,,,,,Casey Wise,casey.wise@upr.edu,Research Infrastructure Development - Programmable transitional Graphical User Interface,An interdisciplinary effort to advance our mission through education and resource optimization.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Mrs. Monica Garner,Yes,FSTAID - F AYUDA ECON FED (40210-29);CPF - MEJORAS PROJETOS FEMA (40471);GF - FONDO GENERAL (40110),56718.74,Pending
278,01/26/2026 13:59,01/26/2026 14:13,david.quinn@upr.edu,DAVID QUINN,Dean of Administration,,,,,Information Technology,,,,,,,David Quinn,david.quinn@upr.edu,Technology Modernization - Polarized motivating matrix,A comprehensive initiative focused on enhancing quality and implementing best practices.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Michelle Diaz,No,,,N/A
279,01/22/2026 23:22,01/22/2026 23:28,ashley.huffman@upr.edu,ASHLEY HUFFMAN,Graduate School of Public Health,,,,,,,,,,,Department of Social Sciences,Ashley Huffman,ashley.huffman@upr.edu,Peer Support Network - Reduced radical customer loyalty,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Kelsey George,Yes,CPPF - F MEJORAS DONATIVO PRIV (40280);FIP - PAREO FONDO INSTITUCIONAL (40120),120952.87,New
